Name	smiles
CHEMBL107874	CCCCCCCCCCCCC(=O)[O-]
CHEMBL1079175	[NH3+]C1(c2ccc(-c3nc4ccn5c(=O)[n-]nc5c4cc3-c3ccccc3)cc2)CCC1
CHEMBL1079446	C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
CHEMBL1079576	NC(=O)OCCCc1ccccc1
CHEMBL1079593	O=c1[n-]c2cnc(-n3cnc4ccc(F)cc43)nc2n1[C@@H]1CCOc2c(F)cccc21
CHEMBL1079604	Cc1cc(C)cc(OC[C@H]2CNC(=O)O2)c1
CHEMBL1079787	CCOC(=O)[N-]Nc1nncc2ccccc12
CHEMBL1079905	CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C
CHEMBL1079935	CCNC(=O)[N@H+]1CC[N@H+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
CHEMBL108	NC(=O)N1c2ccccc2C=Cc2ccccc21
CHEMBL108030	CCCCCCCCCCC(=O)[O-]
CHEMBL1080983	COCC(=O)Nc1cc(Sc2ccccc2)ccc1[NH+]=C(NC(=O)OC)NC(=O)OC
CHEMBL108111	NC(=[NH2+])c1ccc(C(=O)N[C@@H](Cc2ccc([O-])cc2)C(=O)[N@H+]2CC[C@H](OCC(=O)[O-])CC2)cc1
CHEMBL1081506	O=C1O[C@H](OC(=O)c2cccnc2Nc2cccc(C(F)(F)F)c2)c2ccccc21
CHEMBL1082354	O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1
CHEMBL1082407	CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
CHEMBL1082462	CC(C)(CC(=O)[NH+]1CCCC1)[NH2+]CC(=O)[N@H+]1C[C@@H](F)C[C@H]1C#N
CHEMBL1082508	NC(=O)NC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21
CHEMBL1082723	C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2([NH2+]1)C(=O)Nc1ccc(Cl)cc12
CHEMBL1083390	O=S(=O)(c1ccccc1)c1cnc2c(N3CC[NH2+]CC3)cccc2c1
CHEMBL108358	NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
CHEMBL1083659	Cc1ccc(-n2nccn2)c(C(=O)[N@@H+]2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1
CHEMBL1084546	CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O
CHEMBL1084617	COc1cccc(C(=O)Nc2ccc(OCC[NH+]3CCOCC3)c(-c3ccnn3C)c2)c1
CHEMBL1085	CC(=O)c1ccc2c(c1)N(CCC[N@H+]1CC[N@@H+](CCO)CC1)c1ccccc1S2
CHEMBL108545	COC(=O)c1ccccc1[O-]
CHEMBL1085699	COC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OCC[N@H+]2CC[N@H+](C(c3ccccc3)c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1
CHEMBL1086	CCCCOc1cc(C(=O)NCC[NH+](CC)CC)c2ccccc2n1
CHEMBL1086863	OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O
CHEMBL1086997	CCCC[N@@H+]1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO
CHEMBL1087	Cc1cccc(C)c1NC(=O)[C@H]1CCCC[N@@H+]1C
CHEMBL1087630	CCCOc1ccc2[n-]c(NC(=O)OC)nc2c1
CHEMBL10878	COc1ccc2cccc(CCNC(C)=O)c2c1
CHEMBL1088	C[N@@H+]1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@+](C)O)cc21
CHEMBL108821	[NH3+][C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)[O-])cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2
CHEMBL1088750	CC(C)Cn1ncc2cc(Oc3ccc(F)cc3F)c(C(=O)NCC[NH+](C)C)cc21
CHEMBL1088751	CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1
CHEMBL1088752	Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1
CHEMBL1089	N[NH2+]CCc1ccccc1
CHEMBL1089221	O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12
CHEMBL1089318	Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc([O-])c([O-])c([N+](=O)[O-])c2)n1
CHEMBL1090	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
CHEMBL1090089	Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc([NH2+]C(CCO)CCO)nc21
CHEMBL1090090	NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F
CHEMBL1090173	O=C(CO)[N@H+]1CC[C@H](c2n[n-]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1
